id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,a3391ca2016c83b78547bc03e6b57f7e,2024-10-01T00:00:00,2,Ярославль,7513,Анна,Лебедева,10,Томаты,4,200
2,f1876f9d0adc0df30a338181c8ccdf88,2024-10-01T00:00:00,0,Москва,6401,Алексей,Кузнецов,10,Томаты,3,150
3,686d5801c7a1076e44eadcf5a523b0d0,2024-10-01T00:00:00,0,Москва,801,Иван,Михайлов,4,Сахар песок,3,150
4,bb869c4040ef06b2cf4c99de086411fd,2024-10-01T00:00:00,1,Ростов,1513,Евгения,Лебедева,10,Томаты,3,150
5,320f6ae4705f5b42f59e621143d6468d,2024-10-01T00:00:00,1,Ростов,9714,Надежда,Павлова,3,Устройство для нагревания табака Трубка Мира,5,2500
6,844fef44b9ff5039db01583054d6df00,2024-10-01T00:00:00,0,Москва,3500,Олег,Попов,4,Сахар песок,2,100
7,4008b95f2a95b3045457b56b78b97aaa,2024-10-01T00:00:00,2,Ярославль,5805,Александр,Михайлов,8,Лампочка LED,5,1500
8,bf485f0345b803fef5e45ee074658051,2024-10-01T00:00:00,0,Москва,2308,Петр,Смирнов,5,Яблоко молодильное,5,2000
9,68d77a9352aed41a985c6a8e89ed97f2,2024-10-01T00:00:00,0,Москва,5504,Александр,Попов,10,Томаты,5,250
10,b43fefacb53684bef0eb5aa1e25f5a3f,2024-10-01T00:00:00,2,Ярославль,419,Александра,Алексеева,11,Хлеб ржаной,3,60
11,c51269f8cc16fc4e7a2910aa1d94ccfd,2024-10-01T00:00:00,1,Ростов,8407,Геннадий,Кузнецов,11,Хлеб ржаной,5,100
12,952fa16cca90695f2a762e2ed2d189e0,2024-10-01T00:00:00,2,Ярославль,8613,Снежанна,Егорова,10,Томаты,3,150
13,841aa48f95e851b3591aab429380d4b1,2024-10-01T00:00:00,0,Москва,3207,Олег,Сидоров,8,Лампочка LED,1,300
14,365ad456e9114df0229266c2ef135184,2024-10-01T00:00:00,2,Ярославль,4313,Екатерина,Волкова,10,Томаты,5,250
15,01c14eca0a26e7a34b18d8ad8eac2061,2024-10-01T00:00:00,0,Москва,6704,Алексей,Соколов,5,Яблоко молодильное,1,400
16,daab211c1d3bf482deb22d2b4c3150a5,2024-10-01T00:00:00,0,Москва,907,Иван,Новиков,6,Яблоко,4,560
17,038fa67bae514613eaf126cfa0d092c5,2024-10-01T00:00:00,0,Москва,2418,Ольга,Алексеева,11,Хлеб ржаной,5,100
18,c36ed243b3fbbdda5157703dbf1630b8,2024-10-01T00:00:00,0,Москва,7517,Анна,Лебедева,4,Сахар песок,5,250
19,7c95ec7d7a53608fa8a91f209b7a7200,2024-10-01T00:00:00,2,Ярославль,7309,Константин,Смирнов,8,Лампочка LED,2,600
20,071804accfe2cd45d4b887cf0dec2c54,2024-10-01T00:00:00,2,Ярославль,5909,Александр,Новиков,8,Лампочка LED,1,300
21,6467e41e5aaa84bafbb1da16e0c120c5,2024-10-01T00:00:00,1,Ростов,514,Александра,Лебедева,9,Ручка шариковая,5,225
22,b6a0bc763a53e08c854b3f9a879a37c1,2024-10-01T00:00:00,1,Ростов,6908,Алексей,Новиков,11,Хлеб ржаной,5,100
23,a4b31fed32cd74378806ff8fdabbe7f2,2024-10-01T00:00:00,1,Ростов,6409,Алексей,Кузнецов,6,Яблоко,3,420
24,7a20ad8a2bb7b395d019af2f6e45bedb,2024-10-01T00:00:00,0,Москва,5115,Оксана,Федорова,8,Лампочка LED,2,600
25,66b0fd33b5fec519e1a0829ba668366e,2024-10-01T00:00:00,0,Москва,705,Иван,Соколов,6,Яблоко,4,560
26,0c1e2c3ba54bba1f7ae014b795b1beb0,2024-10-01T00:00:00,1,Ростов,4213,Екатерина,Морозова,3,Устройство для нагревания табака Трубка Мира,5,2500
27,92f7cce3f89a3cc204770fb33701de29,2024-10-01T00:00:00,1,Ростов,5506,Александр,Попов,9,Ручка шариковая,3,135
28,5fc780e1912c114eb89014f911d73f78,2024-10-01T00:00:00,1,Ростов,9307,Эдуард,Смирнов,0,Молоко 1%,1,100
29,9f0ac19a4ae744f3af8d7e989c0d538f,2024-10-01T00:00:00,1,Ростов,4912,Екатерина,Орлова,10,Томаты,4,200
30,9df73f074369be1f04d22ab685e693aa,2024-10-01T00:00:00,0,Москва,4200,Сергей,Сидоров,4,Сахар песок,4,200
31,2568580d93a4c8a1580b670806d845ef,2024-10-01T00:00:00,2,Ярославль,2313,Ольга,Волкова,8,Лампочка LED,2,600
32,eb77b32bab4e7f62e29c3b8c208dbe75,2024-10-01T00:00:00,2,Ярославль,8414,Снежанна,Алексеева,8,Лампочка LED,2,600
